latitude,longitude,ocean depth (m),depth of sample (m),temperature of ocean (C),dissolved oxygen (µmol kg-1),apparent oxygen utilization (µmol kg-1),temperature of pH measurement (C),pH
56.509,-170.8147,122,113.9,2.199,316.01,2,-999,7.9743
56.509,-170.8147,122,100.1,2.098,319.32,2,-999,7.9977
56.509,-170.8147,122,59.4,1.637,334.65,2,-999,8.0398
56.509,-170.8147,122,41.6,0.763,342.38,2,-999,8.0659
56.509,-170.8147,122,30.7,-0.318,359.24,2,-999,8.0661
56.509,-170.8147,122,19.8,-0.45,364.36,2,-999,8.0779
56.509,-170.8147,122,10.9,-0.444,364.08,2,-999,8.0813
56.509,-170.8147,122,5,-0.44,364.42,2,-999,8.0821
56.7347,-170.5275,109,101,1.302,336.19,2,-999,7.9929
56.7347,-170.5275,109,75.3,1.298,337.05,2,-999,7.994
56.7347,-170.5275,109,48.5,0.643,347,2,-999,8.0149
56.7347,-170.5275,109,39.6,-1.188,359.7,2,-999,8.0611
56.7347,-170.5275,109,29.7,-1.179,367.55,2,-999,8.0614
56.7347,-170.5275,109,20.8,-1.181,367.7,2,-999,8.0618
56.7347,-170.5275,109,9.9,-1.179,367.99,2,-999,8.0921
56.7347,-170.5275,109,2,-1.179,-999,9,-999,8.0944
56.9675,-170.2735,75,70.3,0.643,342.11,2,-999,8.0429
56.9675,-170.2735,75,49.5,0.655,342.37,2,-999,8.0438
56.9675,-170.2735,75,40.6,0.658,342.86,2,-999,8.0535
56.9675,-170.2735,75,30.7,-1.626,359.91,2,-999,8.1481
56.9675,-170.2735,75,19.8,-1.624,360.1,2,-999,8.1614
56.9675,-170.2735,75,10.9,-1.628,360.18,2,-999,8.1564
56.9675,-170.2735,75,3,-1.626,-999,9,-999,8.1646
57.31,-169.9182,58,54.5,-1.663,356.92,2,-999,8.068
57.31,-169.9182,58,40.6,-1.657,356.68,2,-999,8.0688
57.31,-169.9182,58,28.7,-1.656,356.72,2,-999,8.0693
57.31,-169.9182,58,19.8,-1.656,356.61,2,-999,8.0696
57.31,-169.9182,58,9.9,-1.66,356.66,2,-999,8.0701
57.31,-169.9182,58,2,-1.658,356.69,2,-999,8.0921
57.4455,-169.7615,63,62.4,-1.549,354.62,2,-999,-999
57.4455,-169.7615,63,49.5,-1.554,355.24,2,-999,-999
57.4455,-169.7615,63,39.6,-1.561,356.11,2,-999,-999
57.4455,-169.7615,63,29.7,-1.595,358.26,2,-999,-999
57.4455,-169.7615,63,19.8,-1.607,359.3,2,-999,-999
57.4455,-169.7615,63,9.9,-1.612,359.32,2,-999,-999
57.4455,-169.7615,63,2,-1.601,358.7,2,-999,-999
57.681,-169.5242,69,64.4,-1.713,358.96,2,-999,-999
57.681,-169.5242,69,49.5,-1.716,359.53,2,-999,-999
57.681,-169.5242,69,40.6,-1.716,361.36,2,-999,-999
57.681,-169.5242,69,29.7,-1.706,364.41,2,-999,-999
57.681,-169.5242,69,20.8,-1.705,364.78,2,-999,-999
57.681,-169.5242,69,9.9,-1.694,365.54,2,-999,-999
57.681,-169.5242,69,2,-1.702,366.48,2,-999,-999
